 Óbitos por Causas Externas - Brasil
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: X85-Y09 Agressões, Y35-Y36 Intervenções legais e operações de guerra
Período:2020
"Município";"Óbitos_p/Ocorrênc"
"150611 Quatipuru";7
"150613 Redenção";66
"150616 Rio Maria";5
"150618 Rondon do Pará";18
"150620 Salinópolis";18
"150630 Salvaterra";3
"150635 Santa Bárbara do Pará";10
"150640 Santa Cruz do Arari";2
"150650 Santa Izabel do Pará";24
"150655 Santa Luzia do Pará";5
"150658 Santa Maria das Barreiras";8
"150660 Santa Maria do Pará";8
"150670 Santana do Araguaia";20
"150680 Santarém";48
"150690 Santarém Novo";2
"150700 Santo Antônio do Tauá";9
"150710 São Caetano de Odivelas";4
"150715 São Domingos do Araguaia";3
"150720 São Domingos do Capim";10
"150730 São Félix do Xingu";40
"150740 São Francisco do Pará";8
"150745 São Geraldo do Araguaia";4
"150747 São João de Pirabas";6
"150750 São João do Araguaia";4
"150760 São Miguel do Guamá";18
"150770 São Sebastião da Boa Vista";3
"150775 Sapucaia";1
"150780 Senador José Porfírio";11
"150790 Soure";7
"150795 Tailândia";31
"150796 Terra Alta";4
"150797 Terra Santa";1
"150800 Tomé-Açu";55
"150803 Tracuateua";8
"150805 Trairão";2
"150808 Tucumã";13
"150810 Tucuruí";74
"150812 Ulianópolis";14
"150815 Uruará";23
"150820 Vigia";25
"150830 Viseu";10
"150835 Vitória do Xingu";1
"150840 Xinguara";14
"160010 Amapá";1
"160020 Calçoene";2
"160021 Cutias";2
"160023 Ferreira Gomes";3
"160025 Itaubal";1
"160027 Laranjal do Jari";17
"160030 Macapá";268
"160040 Mazagão";1
"160050 Oiapoque";13
"160015 Pedra Branca do Amapari";4
"160053 Porto Grande";12
"160055 Pracuúba";1
"160060 Santana";50
"160070 Tartarugalzinho";7
"160080 Vitória do Jari";2
"170035 Aliança do Tocantins";2
"170040 Almas";7
"170070 Alvorada";3
"170110 Aparecida do Rio Negro";1
"170130 Aragominas";3
"170190 Araguacema";1
"170210 Araguaína";70
"170215 Araguanã";2
"170220 Araguatins";7
"170255 Augustinópolis";6
"170270 Aurora do Tocantins";1
"170290 Axixá do Tocantins";4
"170300 Babaçulândia";1
"170307 Barra do Ouro";1
"170310 Barrolândia";2
"170320 Bernardo Sayão";1
"170330 Bom Jesus do Tocantins";1
"170370 Brejinho de Nazaré";2
"170380 Buriti do Tocantins";1
"170384 Campos Lindos";2
"170386 Cariri do Tocantins";4
"170389 Carrasco Bonito";1
"170390 Caseara";2
"170550 Colinas do Tocantins";12
"170560 Conceição do Tocantins";2
"170600 Couto Magalhães";1
"170610 Cristalândia";3
"170650 Darcinópolis";2
"170700 Dianópolis";5
"170710 Divinópolis do Tocantins";2
"170720 Dois Irmãos do Tocantins";1
"170730 Dueré";1
"170740 Esperantina";4
"170755 Fátima";1
"170770 Filadélfia";3
"170820 Formoso do Araguaia";5
"170825 Fortaleza do Tabocão";2
"170830 Goianorte";1
"170900 Goiatins";3
"170930 Guaraí";10
"170950 Gurupi";42
"171050 Itacajá";1
"171090 Itapiratins";1
"171190 Lagoa da Confusão";4
"171195 Lagoa do Tocantins";1
"171250 Marianópolis do Tocantins";1
"171320 Miracema do Tocantins";5
"171395 Muricilândia";1
"171420 Natividade";5
"171488 Nova Olinda";2
"171500 Nova Rosalândia";3
"171550 Oliveira de Fátima";1
"172100 Palmas";109
"171570 Palmeirante";2
"171380 Palmeiras do Tocantins";2
"171575 Palmeirópolis";2
"171610 Paraíso do Tocantins";13
"171620 Paranã";1
"171630 Pau D'Arco";2
"171650 Pedro Afonso";1
"171660 Peixe";2
"171665 Pequizeiro";1
"171720 Piraquê";1
"171750 Pium";4
"171790 Ponte Alta do Tocantins";4
"171820 Porto Nacional";36
"171830 Praia Norte";2
"171840 Presidente Kennedy";3
"171845 Pugmil";1
"171850 Recursolândia";1
"171855 Riachinho";1
"171865 Rio da Conceição";2
"171875 Rio Sono";1
"171880 Sampaio";3
"171884 Sandolândia";3
"171889 Santa Rita do Tocantins";1
"171890 Santa Rosa do Tocantins";2
"172010 São Bento do Tocantins";3
"172015 São Félix do Tocantins";1
"172020 São Miguel do Tocantins";2
"172025 São Salvador do Tocantins";2
"172030 São Sebastião do Tocantins";1
"172049 São Valério";2
"172065 Silvanópolis";1
"172080 Sítio Novo do Tocantins";1
"172090 Taguatinga";8
"172097 Talismã";1
"172120 Tocantinópolis";9
"172130 Tupiratins";1
"172208 Wanderlândia";1
"172210 Xambioá";1
"210005 Açailândia";68
"210020 Alcântara";1
"210030 Aldeias Altas";3
"210043 Alto Alegre do Maranhão";8
"210047 Alto Alegre do Pindaré";2
"210050 Alto Parnaíba";1
"210055 Amapá do Maranhão";2
"210060 Amarante do Maranhão";19
"210070 Anajatuba";1
"210083 Apicum-Açu";4
"210090 Araioses";1
"210095 Arame";6
"210100 Arari";11
"210110 Axixá";1
"210120 Bacabal";41
"210125 Bacabeira";11
"210130 Bacuri";7
"210140 Balsas";68
"210160 Barra do Corda";10
"210170 Barreirinhas";5
"210177 Bela Vista do Maranhão";1
"210190 Bequimão";4
"210193 Bernardo do Mearim";1
"210197 Boa Vista do Gurupi";2
"210200 Bom Jardim";9
"210203 Bom Jesus das Selvas";15
"210210 Brejo";4
"210215 Brejo de Areia";2
"210220 Buriti";4
"210230 Buriti Bravo";2
"210232 Buriticupu";21
"210235 Buritirana";4
"210240 Cajapió";3
"210250 Cajari";7
"210255 Campestre do Maranhão";3
"210260 Cândido Mendes";3
"210275 Capinzal do Norte";2
"210280 Carolina";5
"210290 Carutapera";1
"210300 Caxias";84
"210310 Cedral";1
"210312 Central do Maranhão";7
"210317 Centro Novo do Maranhão";2
"210320 Chapadinha";16
"210325 Cidelândia";4
"210330 Codó";55
"210340 Coelho Neto";16
"210350 Colinas";17
"210355 Conceição do Lago-Açu";4
"210360 Coroatá";20
"210370 Cururupu";19
"210375 Davinópolis";10
"210380 Dom Pedro";4
"210390 Duque Bacelar";2
"210400 Esperantinópolis";3
"210405 Estreito";9
"210407 Feira Nova do Maranhão";1
"210409 Formosa da Serra Negra";3
"210420 Fortuna";1
"210430 Godofredo Viana";1
"210450 Governador Archer";2
"210455 Governador Edison Lobão";8
"210460 Governador Eugênio Barros";1
"210462 Governador Luiz Rocha";2
"210465 Governador Newton Bello";1
"210467 Governador Nunes Freire";13
"210480 Grajaú";41
"210490 Guimarães";4
"210500 Humberto de Campos";2
"210510 Icatu";6
"210515 Igarapé do Meio";1
"210520 Igarapé Grande";3
"210530 Imperatriz";147
"210535 Itaipava do Grajaú";1
"210540 Itapecuru Mirim";10
"210542 Itinga do Maranhão";16
"210545 Jatobá";2
"210547 Jenipapo dos Vieiras";1
"210550 João Lisboa";12
"210560 Joselândia";1
"210570 Lago da Pedra";24
"210580 Lago do Junco";2
"210594 Lago dos Rodrigues";2
"210590 Lago Verde";3
"210592 Lagoa do Mato";1
"210600 Lima Campos";1
"210620 Luís Domingues";2
"210630 Magalhães de Almeida";1
"210632 Maracaçumé";3
"210635 Marajá do Sena";1
"210640 Mata Roma";1
"210650 Matinha";7
"210660 Matões";3
"210667 Milagres do Maranhão";1
"210670 Mirador";2
"210675 Miranda do Norte";3
"210680 Mirinzal";4
"210690 Monção";2
"210700 Montes Altos";2
"210720 Nina Rodrigues";1
"210725 Nova Colinas";1
"210735 Nova Olinda do Maranhão";5
"210740 Olho d'Água das Cunhãs";3
"210745 Olinda Nova do Maranhão";3
"210750 Paço do Lumiar";16
"210760 Palmeirândia";3
"210770 Paraibano";3
"210780 Parnarama";7
"210790 Passagem Franca";3
"210800 Pastos Bons";7
"210805 Paulino Neves";1
"210810 Paulo Ramos";5
"210820 Pedreiras";10
"210825 Pedro do Rosário";5
"210830 Penalva";14
"210840 Peri Mirim";3
"210845 Peritoró";8
"210850 Pindaré-Mirim";17
"210860 Pinheiro";52
"210870 Pio XII";4
"210880 Pirapemas";1
"210890 Poção de Pedras";3
"210900 Porto Franco";8
"210910 Presidente Dutra";26
"210920 Presidente Juscelino";1
"210927 Presidente Sarney";4
"210930 Presidente Vargas";1
"210940 Primeira Cruz";1
"210945 Raposa";2
"210950 Riachão";2
"210960 Rosário";12
"210980 Santa Helena";8
"210990 Santa Inês";51
"211000 Santa Luzia";20
"211003 Santa Luzia do Paruá";4
"211010 Santa Quitéria do Maranhão";7
"211020 Santa Rita";9
"211023 Santana do Maranhão";2
"211027 Santo Amaro do Maranhão";1
"211030 Santo Antônio dos Lopes";2
"211040 São Benedito do Rio Preto";2
"211050 São Bento";3
"211060 São Bernardo";2
"211070 São Domingos do Maranhão";19
"211085 São Francisco do Brejão";4
"211090 São Francisco do Maranhão";1
"211100 São João Batista";3
"211105 São João do Paraíso";1
"211107 São João do Soter";7
"211110 São João dos Patos";3
"211120 São José de Ribamar";39
"211130 São Luís";404
"211140 São Luís Gonzaga do Maranhão";2
"211150 São Mateus do Maranhão";23
"211153 São Pedro da Água Branca";9
"211160 São Raimundo das Mangabeiras";3
"211170 São Vicente Ferrer";1
"211176 Senador La Rocque";5
"211178 Serrano do Maranhão";2
"211180 Sítio Novo";3
"211190 Sucupira do Norte";1
"211195 Sucupira do Riachão";1
"211200 Tasso Fragoso";2
"211210 Timbiras";1
"211220 Timon";87
"211223 Trizidela do Vale";5
"211230 Tuntum";8
"211240 Turiaçu";6
"211245 Turilândia";4
"211250 Tutóia";1
"211260 Urbano Santos";1
"211270 Vargem Grande";9
"211280 Viana";24
"211285 Vila Nova dos Martírios";2
"211290 Vitória do Mearim";13
"211300 Vitorino Freire";12
"211400 Zé Doca";18
"220010 Agricolândia";1
"220020 Água Branca";4
"220030 Alto Longá";3
"220040 Altos";12
"220045 Alvorada do Gurguéia";1
"220050 Amarante";3
"220110 Avelino Lopes";4
"220115 Baixa Grande do Ribeiro";1
"220120 Barras";5
"220150 Batalha";2
"220170 Bertolínia";1
"220190 Bom Jesus";4
"220198 Brejo do Piauí";1
"220200 Buriti dos Lopes";1
"220202 Buriti dos Montes";1
"220208 Cajueiro da Praia";1
"220209 Caldeirão Grande do Piauí";1
"220213 Campo Grande do Piauí";2
"220220 Campo Maior";13
"220230 Canto do Buriti";4
"220250 Caracol";3
"220260 Castelo do Piauí";2
"220265 Caxingó";1
"220270 Cocal";1
"220275 Colônia do Gurguéia";2
"220280 Conceição do Canindé";1
"220290 Corrente";4
"220300 Cristalândia do Piauí";2
"220310 Cristino Castro";1
"220320 Curimatá";2
"220325 Curralinhos";1
"220330 Demerval Lobão";8
"220335 Dirceu Arcoverde";3
"220350 Elesbão Veloso";1
"220370 Esperantina";10
"220380 Flores do Piauí";1
"220390 Floriano";30
"220420 Francisco Santos";1
"220430 Fronteiras";3
"220490 Isaías Coelho";1
"220510 Itaueira";3
"220520 Jaicós";3
"220550 José de Freitas";6
"220552 Júlio Borges";1
"220558 Lagoa do Piauí";1
"220554 Lagoinha do Piauí";1
"220570 Luís Correia";5
"220580 Luzilândia";8
"220585 Madeiro";6
"220590 Manoel Emídio";1
"220595 Marcolândia";1
"220605 Massapê do Piauí";1
"220610 Matias Olímpio";2
"220620 Miguel Alves";9
"220650 Monsenhor Hipólito";2
"220665 Morro Cabeça no Tempo";1
"220667 Morro do Chapéu do Piauí";3
"220672 Nazária";2
"220700 Oeiras";2
"220720 Padre Marcos";5
"220750 Palmeirais";1
"220760 Parnaguá";1
"220770 Parnaíba";46
"220777 Patos do Piauí";1
"220779 Pau D'Arco do Piauí";1
"220780 Paulistana";2
"220790 Pedro II";3
"220800 Picos";17
"220820 Pio IX";5
"220830 Piracuruca";4
"220840 Piripiri";9
"220850 Porto";2
"220870 Redenção do Gurguéia";1
"220880 Regeneração";2
"220890 Ribeiro Gonçalves";2
"220900 Rio Grande do Piauí";1
"220910 Santa Cruz do Piauí";2
"220920 Santa Filomena";1
"220940 Santo Antônio de Lisboa";1
"220960 São Félix do Piauí";1
"220965 São Francisco de Assis do Piauí";1
"220997 São João do Arraial";1
"221000 São João do Piauí";6
"221005 São José do Divino";1
"221030 São Julião";4
"221035 São Lourenço do Piauí";1
"221040 São Miguel do Tapuio";4
"221050 São Pedro do Piauí";1
"221060 São Raimundo Nonato";3
"221065 Sigefredo Pacheco";1
"221070 Simões";1
"221095 Tamboril do Piauí";1
"221100 Teresina";352
"221110 União";7
"221130 Valença do Piauí";4
"221135 Várzea Branca";1
"221170 Wall Ferraz";1
"220000 Município ignorado - PI";1
"230010 Abaiara";1
"230015 Acarape";11
"230020 Acaraú";14
"230030 Acopiara";10
"230040 Aiuaba";2
"230050 Alcântaras";1
"230070 Alto Santo";14
"230075 Amontada";5
"230080 Antonina do Norte";2
"230090 Apuiarés";2
"230100 Aquiraz";77
"230110 Aracati";23
"230120 Aracoiaba";18
"230125 Ararendá";1
"230130 Araripe";2
"230140 Aratuba";5
"230150 Arneiroz";1
"230160 Assaré";3
"230170 Aurora";1
"230185 Banabuiú";6
"230190 Barbalha";17
"230195 Barreira";5
"230200 Barro";3
"230205 Barroquinha";2
"230210 Baturité";15
"230220 Beberibe";16
"230240 Boa Viagem";6
"230250 Brejo Santo";5
"230260 Camocim";2
"230270 Campos Sales";25
"230280 Canindé";38
"230290 Capistrano";6
"230300 Caridade";16
"230310 Cariré";3
"230320 Caririaçu";2
"230330 Cariús";5
"230340 Carnaubal";1
"230350 Cascavel";58
"230360 Catarina";2
"230365 Catunda";1
"230370 Caucaia";301
"230380 Cedro";16
"230390 Chaval";1
"230393 Choró";10
"230395 Chorozinho";18
"230400 Coreaú";8
"230410 Crateús";8
"230420 Crato";52
"230423 Croatá";2
"230425 Cruz";7
"230426 Deputado Irapuan Pinheiro";1
"230427 Ererê";3
"230428 Eusébio";29
"230430 Farias Brito";4
"230435 Forquilha";26
"230440 Fortaleza";1318
"230445 Fortim";3
"230450 Frecheirinha";12
"230460 General Sampaio";2
"230465 Graça";1
"230470 Granja";4
"230480 Granjeiro";1
"230490 Groaíras";3
"230495 Guaiúba";40
"230500 Guaraciaba do Norte";3
"230510 Guaramiranga";4
"230520 Hidrolândia";7
"230523 Horizonte";57
"230526 Ibaretama";13
"230530 Ibiapina";4
"230533 Ibicuitinga";20
"230535 Icapuí";7
"230540 Icó";9
"230550 Iguatu";27
"230560 Independência";10
"230570 Ipaumirim";1
"230590 Ipueiras";4
"230600 Iracema";5
"230610 Irauçuba";1
"230620 Itaiçaba";1
"230625 Itaitinga";58
"230630 Itapagé";10
"230640 Itapipoca";23
"230650 Itapiúna";5
"230655 Itarema";25
"230660 Itatira";2
"230670 Jaguaretama";7
"230680 Jaguaribara";15
"230690 Jaguaribe";13
"230700 Jaguaruana";16
"230710 Jardim";7
"230720 Jati";3
"230725 Jijoca de Jericoacoara";4
"230730 Juazeiro do Norte";148
"230740 Jucás";10
"230750 Lavras da Mangabeira";14
"230760 Limoeiro do Norte";31
"230763 Madalena";2
"230765 Maracanaú";147
"230770 Maranguape";92
"230780 Marco";10
"230800 Massapê";8
"230810 Mauriti";8
"230820 Meruoca";1
"230830 Milagres";1
"230835 Milhã";4
"230837 Miraíma";1
"230840 Missão Velha";11
"230850 Mombaça";7
"230860 Monsenhor Tabosa";14
"230870 Morada Nova";26
"230880 Moraújo";2
"230890 Morrinhos";4
"230900 Mucambo";1
"230910 Mulungu";3
"230920 Nova Olinda";7
"230930 Nova Russas";1
"230940 Novo Oriente";4
"230945 Ocara";2
"230950 Orós";5
"230960 Pacajus";70
"230970 Pacatuba";45
"230980 Pacoti";2
"231000 Palhano";2
"231010 Palmácia";6
"231020 Paracuru";6
"231025 Paraipaba";18
"231030 Parambu";2
"231040 Paramoti";9
"231050 Pedra Branca";4
"231060 Penaforte";1
"231070 Pentecoste";12
"231080 Pereiro";4
"231085 Pindoretama";9
"231095 Pires Ferreira";1
"231110 Porteiras";2
"231123 Potiretama";1
"231126 Quiterianópolis";8
"231130 Quixadá";41
"231140 Quixeramobim";20
"231150 Quixeré";17
"231160 Redenção";8
"231170 Reriutaba";5
"231180 Russas";36
"231190 Saboeiro";8
"231195 Salitre";3
"231220 Santa Quitéria";11
"231200 Santana do Acaraú";15
"231210 Santana do Cariri";2
"231230 São Benedito";12
"231240 São Gonçalo do Amarante";21
"231250 São João do Jaguaribe";19
"231260 São Luís do Curu";10
"231270 Senador Pompeu";6
"231280 Senador Sá";1
"231290 Sobral";183
"231300 Solonópole";6
"231310 Tabuleiro do Norte";27
"231320 Tamboril";5
"231330 Tauá";7
"231335 Tejuçuoca";4
"231340 Tianguá";15
"231350 Trairi";18
"231355 Tururu";3
"231360 Ubajara";9
"231375 Umirim";5
"231380 Uruburetama";5
"231390 Uruoca";1
"231395 Varjota";13
"231400 Várzea Alegre";8
"231410 Viçosa do Ceará";7
"240010 Acari";2
"240020 Açu";23
"240030 Afonso Bezerra";1
"240040 Água Nova";1
"240050 Alexandria";2
"240060 Almino Afonso";4
"240070 Alto do Rodrigues";15
"240090 Antônio Martins";4
"240100 Apodi";12
"240110 Areia Branca";12
"240120 Arês";6
"240130 Augusto Severo";6
"240140 Baía Formosa";1
"240145 Baraúna";7
"240150 Barcelona";3
"240170 Bom Jesus";3
"240180 Brejinho";7
"240190 Caiçara do Rio do Vento";3
"240200 Caicó";23
"240210 Campo Redondo";3
"240220 Canguaretama";25
"240230 Caraúbas";9
"240240 Carnaúba dos Dantas";1
"240250 Carnaubais";5
"240260 Ceará-Mirim";36
"240270 Cerro Corá";2
"240280 Coronel Ezequiel";1
"240290 Coronel João Pessoa";1
"240300 Cruzeta";1
"240310 Currais Novos";4
"240340 Equador";2
"240350 Espírito Santo";3
"240360 Extremoz";38
"240370 Felipe Guerra";4
"240375 Fernando Pedroza";1
"240390 Francisco Dantas";1
"240400 Frutuoso Gomes";1
"240420 Goianinha";14
"240430 Governador Dix-Sept Rosado";8
"240440 Grossos";4
"240450 Guamaré";2
"240460 Ielmo Marinho";7
"240470 Ipanguaçu";3
"240485 Itajá";3
"240490 Itaú";2
"240500 Jaçanã";5
"240510 Jandaíra";2
"240530 Januário Cicco";5
"240540 Japi";6
"240560 Jardim de Piranhas";7
"240570 Jardim do Seridó";2
"240580 João Câmara";12
"240590 João Dias";2
"240610 Jucurutu";7
"240615 Jundiá";1
"240620 Lagoa d'Anta";1
"240630 Lagoa de Pedras";4
"240640 Lagoa de Velhos";2
"240650 Lagoa Nova";2
"240660 Lagoa Salgada";5
"240680 Lajes Pintadas";1
"240700 Luís Gomes";2
"240710 Macaíba";50
"240720 Macau";1
"240730 Marcelino Vieira";2
"240740 Martins";6
"240750 Maxaranguape";8
"240770 Montanhas";5
"240780 Monte Alegre";12
"240790 Monte das Gameleiras";5
"240800 Mossoró";202
"240810 Natal";307
"240820 Nísia Floresta";12
"240830 Nova Cruz";14
"240860 Paraná";1
"240870 Paraú";1
"240890 Parelhas";7
"240325 Parnamirim";74
"240910 Passa e Fica";8
"240930 Patu";3
"240940 Pau dos Ferros";11
"240950 Pedra Grande";1
"240970 Pedro Avelino";1
"240980 Pedro Velho";11
"240990 Pendências";5
"241000 Pilões";3
"241010 Poço Branco";2
"241020 Portalegre";3
"241025 Porto do Mangue";7
"241050 Rafael Fernandes";3
"241060 Rafael Godeiro";3
"241080 Riacho de Santana";1
"241090 Riachuelo";1
"240895 Rio do Fogo";5
"241100 Rodolfo Fernandes";3
"241120 Santa Cruz";8
"240933 Santa Maria";1
"241140 Santana do Matos";2
"241150 Santo Antônio";10
"241190 São Francisco do Oeste";1
"241200 São Gonçalo do Amarante";55
"241210 São João do Sabugi";1
"241220 São José de Mipibu";33
"241230 São José do Campestre";13
"241250 São Miguel";3
"241255 São Miguel do Gostoso";3
"241260 São Paulo do Potengi";7
"241270 São Pedro";6
"241280 São Rafael";1
"241290 São Tomé";11
"241300 São Vicente";1
"241310 Senador Elói de Souza";3
"241320 Senador Georgino Avelino";1
"241030 Serra Caiada";5
"241330 Serra de São Bento";4
"241335 Serra do Mel";5
"241340 Serra Negra do Norte";1
"241355 Serrinha dos Pintos";1
"241370 Sítio Novo";3
"241380 Taboleiro Grande";1
"241390 Taipu";2
"241400 Tangará";9
"241415 Tenente Laurentino Cruz";1
"241105 Tibau";4
"241420 Tibau do Sul";6
"241440 Touros";12
"241450 Umarizal";18
"241460 Upanema";4
"241475 Venha-Ver";2
"241480 Vera Cruz";14
"250030 Alagoa Grande";2
"250040 Alagoa Nova";1
"250050 Alagoinha";1
"250053 Alcantil";3
"250057 Algodão de Jandaíra";5
"250060 Alhandra";7
"250073 Amparo";1
"250077 Aparecida";1
"250080 Araçagi";4
"250090 Arara";1
"250100 Araruna";3
"250110 Areia";9
"250130 Aroeiras";12
"250140 Baía da Traição";1
"250150 Bananeiras";6
"250153 Baraúna";2
"250160 Barra de Santa Rosa";2
"250157 Barra de Santana";3
"250180 Bayeux";40
"250190 Belém";2
"250200 Belém do Brejo do Cruz";4
"250230 Bom Sucesso";2
"250240 Bonito de Santa Fé";1
"250250 Boqueirão";3
"250280 Brejo do Cruz";11
"250290 Brejo dos Santos";4
"250300 Caaporã";12
"250320 Cabedelo";8
"250330 Cachoeira dos Índios";2
"250340 Cacimba de Areia";1
"250350 Cacimba de Dentro";2
"250355 Cacimbas";3
"250360 Caiçara";2
"250370 Cajazeiras";3
"250380 Caldas Brandão";2
"250390 Camalaú";3
"250400 Campina Grande";106
"250403 Capim";2
"250420 Catingueira";7
"250430 Catolé do Rocha";32
"250440 Conceição";3
"250450 Condado";1
